volume,file,airfoil_label,asb_name,builder,config,comment,xtr_upper,xtr_lower,Re,run_file,alpha,CL,CM,sweep
vol1,A18.LFT,A18,a18,R. Cooney,clean,clean,,,30500,AB00520.DAT,-5.44,-0.361,-0.08,up
vol1,A18.LFT,A18,a18,R. Cooney,clean,clean,,,30500,AB00520.DAT,-4.15,-0.255,-0.08,up
vol1,A18.LFT,A18,a18,R. Cooney,clean,clean,,,30500,AB00520.DAT,-2.9,-0.14,-0.08,up
vol1,A18.LFT,A18,a18,R. Cooney,clean,clean,,,30500,AB00520.DAT,-1.98,-0.062,-0.08,up
vol1,A18.LFT,A18,a18,R. Cooney,clean,clean,,,30500,AB00520.DAT,-1.08,0.021,-0.08,up
vol1,A18.LFT,A18,a18,R. Cooney,clean,clean,,,30500,AB00520.DAT,0.12,0.14,-0.08,up
vol1,A18.LFT,A18,a18,R. Cooney,clean,clean,,,30500,AB00520.DAT,0.95,0.225,-0.08,up
vol1,A18.LFT,A18,a18,R. Cooney,clean,clean,,,30500,AB00520.DAT,2.16,0.329,-0.08,up
vol1,A18.LFT,A18,a18,R. Cooney,clean,clean,,,30500,AB00520.DAT,3.18,0.449,-0.08,up
vol1,A18.LFT,A18,a18,R. Cooney,clean,clean,,,30500,AB00520.DAT,4.03,0.552,-0.08,up
vol1,A18.LFT,A18,a18,R. Cooney,clean,clean,,,30500,AB00520.DAT,5.24,0.697,-0.08,up
vol1,A18.LFT,A18,a18,R. Cooney,clean,clean,,,30500,AB00520.DAT,6.34,0.863,-0.08,up
vol1,A18.LFT,A18,a18,R. Cooney,clean,clean,,,30500,AB00520.DAT,7.17,0.961,-0.08,up
vol1,A18.LFT,A18,a18,R. Cooney,clean,clean,,,30500,AB00520.DAT,8.34,1.037,-0.08,up
vol1,A18.LFT,A18,a18,R. Cooney,clean,clean,,,30500,AB00520.DAT,9.23,1.082,-0.08,up
vol1,A18.LFT,A18,a18,R. Cooney,clean,clean,,,30500,AB00520.DAT,10.4,1.086,-0.08,up
vol1,A18.LFT,A18,a18,R. Cooney,clean,clean,,,30500,AB00520.DAT,11.23,1.032,-0.08,up
vol1,A18.LFT,A18,a18,R. Cooney,clean,clean,,,30500,AB00520.DAT,12.37,1.028,-0.08,up
