asb_name,princeton_label,Re_princeton,uiuc_volume,uiuc_file,Re_uiuc,alpha,CL_princeton,CD_princeton,CL_uiuc,CD_uiuc,NF_CL_measured_geom,NF_CD_measured_geom,NF_CL_design_geom,NF_CD_design_geom,dCL_tunnels,errCD_tunnels,dCL_NF_vs_uiuc,dCL_NF_vs_princeton,errCD_NF_vs_uiuc,errCD_NF_vs_princeton,Re_bin
clarky,CLARK-Y,61300,vol3,CLARKYB.DRG,60700,-1.9,0.006,0.0223,-0.06720987654320988,0.026153703703703703,-0.17484707886856385,0.02712868686924181,-0.14027190012263208,0.029150358787507623,-0.07320987654320989,0.17281182527819294,-0.0730620235794222,-0.18084707886856385,0.1145786125649024,0.21653304346375826,60k
clarky,CLARK-Y,61300,vol3,CLARKYB.DRG,60700,-0.88,0.113,0.0252,0.03353086419753087,0.024075925925925924,0.006519342666158505,0.024999913082953875,0.022405094861456188,0.026789749916192377,-0.07946913580246914,-0.04460611405055857,-0.01112576933607468,-0.1064806573338415,0.11271940271855123,-0.007939957025639887,60k
clarky,CLARK-Y,61300,vol3,CLARKYB.DRG,60700,0.15,0.245,0.0278,0.13559183673469388,0.02577142857142857,0.1895956866743475,0.026558009486581893,0.18629463722827508,0.02717671504313242,-0.10940816326530611,-0.07297019527235353,0.050702800493581196,-0.05540431332565249,0.054528854223541784,-0.0446759177488527,60k
clarky,CLARK-Y,61300,vol3,CLARKYB.DRG,60700,1.18,0.365,0.0313,0.23957894736842106,0.0299,0.3517113886458217,0.028459594727058526,0.3466839655544011,0.02944891880970245,-0.12542105263157893,-0.04472843450479239,0.10710501818598006,-0.013288611354178304,-0.015086327434700704,-0.0907477722984497,60k
clarky,CLARK-Y,61300,vol3,CLARKYB.DRG,60700,2.2,0.522,0.0324,0.3516447368421053,0.03245,0.4938998744821955,0.029717460388270223,0.4881438912087916,0.031158211234027736,-0.17035526315789473,0.0015432098765432542,0.1364991543666863,-0.028100125517804497,-0.03980859063088639,-0.08279443246079554,60k
clarky,CLARK-Y,61300,vol3,CLARKYB.DRG,60700,3.24,0.646,0.0303,0.48190123456790124,0.03355925925925926,0.632529788056075,0.030076399603527138,0.6314100064845273,0.031055979670407217,-0.16409876543209878,0.10756631218677427,0.14950877191662604,-0.013470211943925059,-0.07459281414745082,-0.007379551038708329,60k
clarky,CLARK-Y,61300,vol3,CLARKYB.DRG,60700,4.26,0.744,0.0284,0.6130322580645161,0.03401612903225806,0.7590436861930351,0.030142466246291744,0.7700655739239459,0.030066248119322885,-0.13096774193548388,0.1977510222626078,0.1570333158594298,0.015043686193035088,-0.1161178836424756,0.061354445291962746,60k
clarky,CLARK-Y,61300,vol3,CLARKYB.DRG,60700,5.28,0.836,0.0271,0.7051612903225807,0.035200645161290324,0.8735651429763681,0.03072983633302253,0.8958915356623457,0.028979568721554834,-0.13083870967741928,0.2989167956195692,0.19073024533976501,0.03756514297636815,-0.17673188690804803,0.1339423001115325,60k
clarky,CLARK-Y,61300,vol3,CLARKYB.DRG,60700,6.29,0.918,0.0266,0.7988648648648649,0.03695405405405405,0.9798787005341717,0.03195962280117011,1.0083842352131884,0.029116070747940703,-0.11913513513513518,0.38925015240804717,0.20951937034832357,0.06187870053417166,-0.2121007696381145,0.20148957899135755,60k
clarky,CLARK-Y,61300,vol3,CLARKYB.DRG,60700,7.32,1.005,0.0283,0.8950709677419355,0.03890838709677419,1.0843443457771018,0.03332686601202614,1.1119856724914112,0.030402397251718453,-0.10992903225806439,0.3748546677305368,0.21691470474947572,0.07934434577710192,-0.21861584300319015,0.1776277742765421,60k
